idAlbum,strAlbum,strArtist,intYearReleased,strStyle,strGenre,strLabel,strReleaseFormat,intSales,intLoved,intScore,intScoreVotes,strReview,strMood,strSpeed
2109614,A Rush of Blood to the Head,Coldplay,2002,Rock/Pop,Pop-Rock,Parlophone,Album,15000000,2,8.4,7,"Perhaps unsurprisingly, Coldplay's new album A Rush Of Blood To The Head is a consolidated evolution from their comparatively naÃ¯ve debut, Parachutes. The die-hard Coldplay fans looking for another Parachutes and the bloodthirsty critics who demand to see some progression will all walk away happy.
A Rush of Blood to the Head is inimitably Coldplay; Chris Martin's familiar vocals, the band's signature harmonies, strings and piano are all there but disarmingly there is a lot more to this album. It's undoubtedly the album we all expected but it's also smarter; more poetic, more mature.
""Politik"", the album's opener makes for a driving, imposing start with Martin's distinctive vocals reverberating eerily above urgent piano chords. It's unusually dramatic for a band once dubbed by ex-Creation mogul Alan McGee as ""Bedwetters"". The second track, the first written post-Parachutes and sounding like a refugee from that album, is the grower ""In My Place"". It's a fantastic pop tune that justifies Coldplay's status as one of UK's most exciting bands.
The haunting, surprisingly cynical theme that originates in ""Politik"" is continued in ""God Put A Smile Upon Your Face"" which sees the band at full stretch, lyrically as well as musically. You can sense them pushing themselves to prove to the world that there is a lot more to Coldplay than chart friendly singles.
Then, mid-album, they let all their hard work go to waste with the insipid, vanilla tracks ""The Scientist"" and ""Clocks"". They pass you by and fail to raise even the smallest emotion. Daylight"" and ""A Whisper"" find the band back at their best with epic, yet simple melancholic tunes. Here repetitive choruses and hypnotic, violin sounding guitars take the listener on an exciting journey that you wish wouldn't end.
Coldplay are a band very much in touch with their emotions, which frequently works in their favour. Martin's heartfelt, passionate vocals on the piano driven ""Warning Sign"" transform a song which in other hands could descend to the pathetic: ""Come on in, I've got to tell you what a state I'm in...The truth is I miss you""
Despite a couple of weak moments this is asuperb album that might just capture your heart and your imagination. Don't struggle; enjoy a rush of blood to the head.",Relaxed,Medium
2109615,Parachutes,Coldplay,2000,Rock/Pop,Pop-Rock,Parlophone,Album,8500000,2,8.1,7,,Relaxed,Slow
2109616,Mylo Xyloto,Coldplay,2011,Rock/Pop,Pop-Rock,Parlophone,Album,8000000,1,7.8,8,"Don’t Coldplay love their Xs and their Ys? And their enigmatic album titles? After 2005’s X&Y and 2008’s Viva la Vida or Death and All His Friends comes Mylo Xyloto. Well, it beats Coldplay 5. But any title that needs a pronunciation guide (it’s ""My-lo zy-letoe"") sounds like it’s trying a bit too hard. Maybe Chris Martin still yearns for something that infers the depth and gravitas of a Bono or Thom Yorke. The album is apparently a concept work, ""based on a love story with a happy ending,"" Martin claims, and inspired by old-school American graffiti and the anti-Nazi pacifist White Rose Movement: ""It's about being free to be yourself and to express yourself among negative surroundings."" But the lyrics are still typically Martin’s life-affirming, anthem-forming and plain-speaking as ever, more ABC than MYLO XYLOTO.
The same goes for the music. Bassist Guy Berryman said in 2009, ""It's time to take our music down different directions and really explore other avenues,"" and, in name alone, this set suggests Coldplay might finally do an Achtung Baby; they might rip it up and start again, in the presence of said U2 LP’s producer Brian Eno, who also worked on Viva la Vida. If the addition of electronic undertows, instrumental snippets (the title-track, M.M.I.X., A Hopeful Transmission) linking many of the tracks and the presence of Rihanna on Princess of China count as ""other avenues"", then job well done. But Mylo Xyloto is much more a brilliant, shiny and emphatic reinstatement of the euphoric hooks and cuddly ballads that have served the band so well. Case in point: Paradise, where melting strings and church organ feed into a brilliant chorus line that equal parts Fix You and Viva la Vida’s title-track. But the main vocal chorus doesn’t arrive until over two minutes in, building the tension; the pay-off is both simple and devastating. It’s the equal of Yellow, and when Coldplay return to Glastonbury it will take the roof off the sky.
Every Teardrop Is a Waterfall goes one step further than Paradise by lifting Vida la Vida’s ""who-hoa!"" hook, suggesting Coldplay can’t truly comprehend new avenues. U2-shaped echoes still run through the deep and wide canyons of their landscaped sound ”“ Major Minus features The Edge-patented guitar chatter, but it’s nevertheless a triumph. Charlie Brown has one of those Coldplay-patented sun-breaking-through-clouds moments; Us Against the World (the sentiment that unites the graffiti and anti-Nazi camps) is the key wistful/cuddly ballad alongside Up in Flames, a successful grafting of soul onto the Coldplay model, helped by an understated falsetto and the simplest of piano parts (echoes of Parachutes’ gorgeous Everything’s Not Lost).
The closing Up With the Birds, which samples Leonard Cohen, is a serene finale that shows Coldplay understand the change of dynamics more than the dynamics of change. Better this than the nominally Euro-disco bent of Princess of China, where Rihanna’s presence feels more of a marketing tool than a creative necessity, and there’s yet another ""who-ay-oh-oh!"" chant just in case Coldplay were straying too far from their remit. This appears to support Martin’s message of expressing the freedom to be yourself under negative surroundings ”“ not to change just because critics of the band tell them they should. Mylo Xyloto may have an oblique title but it’s a triumph because the music is anything but.",Relaxed,Medium
2109617,Viva la Vida or Death and All His Friends,Coldplay,2008,Rock/Pop,Pop-Rock,Atlantic,Album,10000000,,7.2,5,"Paradoxically everything that fuels cynicism about the stadium-proof nature of Coldplay is also what makes them undeniably great. Yes, if you find huge choruses that contain wordless exhortations, ponderous one note bass lines and vaporous lyrics that convey nameless heartache to be the very tools of Satan, then Viva La Vida has much to wind you up. If, however, you're one of their millions of fans then it's an unqualified triumph. The rest of us (and EMI, for whom, allegedly, their very future depends on this selling by the shedload) can also rest easy. For, by bringing Brian Eno onboard as sonic nurse, Coldplay have managed to effortlessly make a record that's accomplished and yet pulls off the same trick that U2 managed when they employed the bald one - massaging their sound into something different enough to keep the formula (and make no mistake it IS a formula) fresh.
Two years in gestation, with a break in the middle to do a bit of cultural tourism (and touring) in South America, Viva La Vida wrong foots you by starting with Life In Technicolour; an instrumental that reeks of Eno's ambience while also utilising something that sounds suspiciously like a zither. The world music tropes are limited however. Cemeteries Of London may have an off-kilter rhythmic undertow and Lost! seems to sport bongos in its mix, yet it's the plaintive voice with its vague sense of regret, the lifts from minor key piano forays into vast, pumping rock and also a strident optimism that people are going to come here for. The band deliver all this in spades: 42 and Death And All His Friends most notably.
Elsewhere it's that patent (and potent) mix of upbeat and fatalistic that reminds you why the band hit the bullseye every time. Only on Strawberry Swing does Chris' chirpiness start to grate. 

It all sounds so easy, yet when you imagine the pressure on all concerned to deliver the goods, it's little short of miraculous. Again, cynics may argue that it's Eno's fourth world fairy dust that sugar coats songs that really don't live up to Martin's promise of a very different sound. The string/brass mutations that bolster a track like Viva La Vida may not be a million miles from his mates, The Arcade Fire, but I bet they'd donate several limbs to conjure tunes so sweetly melancholy. Any way you look at it, this is a massive album. Get used to it, you'll be hearing it a LOT over the next two years.",Relaxed,Medium
2109618,X&Y,Coldplay,2005,Rock/Pop,Pop-Rock,Parlophone,Album,12000000,3,8.4,8,"You've heard the single, read the reviews and listened to the interviews; everything suggests Coldplay's new album is going to be great. But it's not until you hear the first few bars of the opening track that you know that the band are going to achieve everything they hoped and dreamed of.
This album is superb. It'll silence their critics, amaze their fans and win them a whole new legion of admirers. It might even bring about world peace! I'm sure that was one of Chris Martin's objectives for this album...
""Square One"" opens the record in typically anthemic fashion: 'Is there anywhere you want to go? The future's for discovering'. Martin has the knack of writing lyrics that affect individuals on a massive scale. Thousands have fallen for his simple songs about hope, loss, love and happiness. X&Y is full of touching eulogiessuch as ""A Message"" and ""Swallowed In The Sea"" which express complete and honest love for a partner.
Much has been made of Coldplay challenging U2's title of biggest band in the world. Martin may spend a great deal of time emulating Bono by talking to politicians and canvassing support for his causes but, unlike Bono, these issues haven't crept into his songwriting. There are no protest songs here.
On this record Martin proves once again that he's an excellent singer while Buckland has become, according to Chris, a 'guitar hero'. Add bass player Guy Berryman and drummer Will Champion and you have four great musicians. Their powers peak on ""Talk"", a fantastic song that is, on an album of big songs, positively gargantuan. More evidence that Coldplay are far and away the best at what they do. Imitators such as Thirteen Senses, Keane and Longview can't touch them.
Other album highlights include ""Low"", perhaps the most frantic song they've recorded, which features some awesome guitar licks. And the secret final track, ""'Til Kingdom Come"", where the threadbare acoustic guitar contrasts wonderfully with the big album sound.
Martin has repeatedly spoken of howhe loves every minute of being in Coldplay. His passion is genuine; he's living his dream, making music he loves and playing live to thousands of adoring fans every night. And Martin is doing all this with his three best mates. Coldplay are a closely knit group of musicians, a band of men with one aim -to make the best music in the world. On the epic X&Y they're on the brink of achieving that goal.",Relaxed,Medium
2114546,Live 2003,Coldplay,2003,Rock/Pop,Pop-Rock,Parlophone,VideoAlbum,0,,8,1,,Relaxed,Medium
2143695,The Blue Room E.P.,Coldplay,1999,Rock/Pop,Pop-Rock,Parlophone,EP,0,,3,2,,Relaxed,Slow
2143696,Acoustic,Coldplay,2000,Rock/Pop,Pop-Rock,Parlophone,EP,0,,,,,Relaxed,Slow
2143698,Prospekt's March EP,Coldplay,2008,Rock/Pop,Pop-Rock,Parlophone,EP,0,,6,2,,Relaxed,Medium
2143699,LeftRightLeftRightLeft,Coldplay,2009,Rock/Pop,Pop-Rock,Parlophone,Live,0,,6,1,,Relaxed,Medium
